size,kernel,avg_time_ms,tflops,bandwidth_gbps,speedup
64,PyTorch,0.02532800007611513,0.02069993676659908,0.9703095359343322,1.0
64,CUTLASS Hopper TMA Stream-K Const,0.02532800007611513,0.02069993676659908,0.9703095359343322,1.0
96,PyTorch,0.02478400059044361,0.07139573748566991,2.2311167964271843,1.0
96,CUTLASS Hopper TMA Stream-K Const,0.025631999596953392,0.06903370895067892,2.1573034047087165,0.9669163927963477
128,PyTorch,0.025008000433444977,0.16771848717623417,3.9309020431929884,1.0
128,CUTLASS Hopper TMA Stream-K Const,0.025696000084280968,0.16322789485690362,3.825653785708679,0.9732254184083358
256,PyTorch,0.024800000712275505,1.3530012514633205,15.855483415585791,1.0
256,CUTLASS Hopper TMA Stream-K Const,0.02707199938595295,1.2394515647562638,14.52482302448747,0.9160756972070436
512,PyTorch,0.024639999493956566,10.894296327637464,63.83376754475078,1.0
512,CUTLASS Hopper TMA Stream-K Const,0.0297279991209507,9.029718243325064,52.90850533198281,0.8288482313830404
768,PyTorch,0.02518399991095066,35.97401791627472,140.5235074854481,1.0
768,CUTLASS Hopper TMA Stream-K Const,0.1908480003476143,4.747074438033666,18.543259523569006,0.1319584164627349
1024,PyTorch,0.025472000241279602,84.30761729186132,246.99497253475002,1.0
1024,CUTLASS Hopper TMA Stream-K Const,0.19601599872112274,10.955654956794028,32.096645381232506,0.12994857770522755
1536,PyTorch,0.02940800040960312,246.45529145304488,481.35799111922825,1.0
1536,CUTLASS Hopper TMA Stream-K Const,0.20692799985408783,35.02550315622172,68.40918585199555,0.14211706695246526
2048,PyTorch,0.04156799986958504,413.29554556148776,605.4133968185856,1.0
2048,CUTLASS Hopper TMA Stream-K Const,0.22569599747657776,76.11951198107928,111.50319137853411,0.18417694746181254
3072,PyTorch,0.0923680029809475,627.7288305990529,613.0164361318875,1.0
3072,CUTLASS Hopper TMA Stream-K Const,0.3056640028953552,189.692138906688,185.2462294010625,0.3021880303405236
4096,PyTorch,0.19022399932146072,722.5111130154563,529.1829441031175,1.0
4096,CUTLASS Hopper TMA Stream-K Const,0.4434079974889755,309.9604748906613,227.02183219530858,0.4290044392494077
8192,PyTorch,1.5808799862861633,695.50607086816,254.70193024957032,1.0
8192,CUTLASS Hopper TMA Stream-K Const,2.085584044456482,527.1960296678145,193.0649522709282,0.7580034909109367
