M,N,K,Raster,Swizzle,Decomposition,Splits,AvgRuntime_ms,TFLOPS,WorktileCount
128,128,128,Heuristic,1,Heuristic,1,0.00722688,0.580375,0
128,128,128,Heuristic,2,Heuristic,1,0.00706112,0.594,0
128,128,128,Heuristic,4,Heuristic,1,0.00724832,0.578659,0
128,128,128,Heuristic,8,Heuristic,1,0.00723872,0.579426,0
128,128,128,Along N,1,Heuristic,1,0.0073952,0.567166,0
128,128,128,Along N,2,Heuristic,1,0.00726016,0.577715,0
128,128,128,Along N,4,Heuristic,1,0.0072528,0.578301,0
128,128,128,Along N,8,Heuristic,1,0.00703712,0.596026,0
128,128,128,Along M,1,Heuristic,1,0.00704864,0.595052,0
128,128,128,Along M,2,Heuristic,1,0.00723936,0.579375,0
128,128,128,Along M,4,Heuristic,1,0.00701952,0.59752,0
128,128,128,Along M,8,Heuristic,1,0.00710176,0.590601,0
128,128,128,Heuristic,1,StreamK,1,0.00709248,0.591373,0
128,128,128,Heuristic,2,StreamK,1,0.007128,0.588426,0
128,128,128,Heuristic,4,StreamK,1,0.00723232,0.579939,0
128,128,128,Heuristic,8,StreamK,1,0.00710368,0.590441,0
128,128,128,Along N,1,StreamK,1,0.0072352,0.579708,0
128,128,128,Along N,2,StreamK,1,0.00709312,0.59132,0
128,128,128,Along N,4,StreamK,1,0.00706016,0.594081,0
128,128,128,Along N,8,StreamK,1,0.00707488,0.592845,0
128,128,128,Along M,1,StreamK,1,0.0072464,0.578812,0
128,128,128,Along M,2,StreamK,1,0.00720576,0.582077,0
128,128,128,Along M,4,StreamK,1,0.00708448,0.592041,0
128,128,128,Along M,8,StreamK,1,0.0072176,0.581122,0
128,128,128,Heuristic,1,SplitK,1,0.00728096,0.576065,0
128,128,128,Heuristic,1,SplitK,2,0.0119453,0.351126,0
128,128,128,Heuristic,1,SplitK,3,0.0120525,0.348003,0
128,128,128,Heuristic,1,SplitK,4,0.0119082,0.352221,0
128,128,128,Heuristic,2,SplitK,1,0.00723456,0.579759,0
128,128,128,Heuristic,2,SplitK,2,0.0120118,0.349181,0
